termino_normalizado,frecuencia,ejemplo_original
bre italiana,1,bre italiana
fragta,1,fragta
pche,1,pche
platacho,1,platacho
nva flor,1,Nva Flor
barca sueca,1,barca sueca
espanola,1,española
btra,1,btra
paquebo,1,paquebo
bca fgta,1,bca fgta
cjra,1,cjra
in,1,in
republica,1,República
savoie,1,Savoie
belgrano,1,Belgrano
bd a,1,bd.a
esperanza caridad,1,Esperanza Caridad
bca fsa,1,bca fsa
qbot,1,qbot
baller,1,baller
cap oriental,1,cap oriental
fca,1,fca
zumoen,1,Zumoen
bq goleta,1,bq goleta
bergantin gole,1,bergantin gole
nuevo fausto,1,Nuevo Fausto
lica inglesa,1,lica inglesa
vapor fragata,1,vapor fragata
vapor goleta,1,vapor goleta
gto,1,gto.
pailebota,1,pailebota
austriaca,1,Austríaca
bca amer cana,1,bca amer cana
bergantin barca,1,bergantin barca
guerra,1,guerra
bat,1,bat.
cater,1,cater
idf,1,idf
pailevt,1,pailevt
pesquera,1,Pesquera
plera,1,plera
brgn gta,1,brgn. gta
plbot,1,plbot
ppot,1,ppot
cu-er,1,cu-er.
bate,1,Bate
gua,1,gua
pnac,1,pnac
bald,1,bald
bca franc,1,bca franc
abgtin,1,abgtin
brgtin,1,brgtin
blndra,1,blndra
cuteri,1,cuteri
vd,1,vd
palbt,1,palbt
gulta,1,gulta
fgta vapor,1,fgta vapor
lugugre,1,lugugre
bladr,1,bladr.
ptn,1,ptn
bergant goleta,1,bergant goleta
gbta,1,gbta
bergantin vapor,1,bergantín vapor
bea franca,1,bea franca
numero tres,1,Número tres
pat nac,1,pat nac
cut,1,cut
balleuera,1,balleuera
igta,1,igta
cates,1,cates
bapor,1,bapor
rbot,1,rbot
pataoho,1,pataoho
sagre,1,sagre
va-por,1,va-por
bergantin lugre,1,bergantín lugre
sueca,1,sueca
vap nac,1,vap nac
clbut,1,clbut
aurora,1,Aurora
cutea,1,cutea
fita,1,fita
nuevo prudente,1,Nuevo Prudente
bergantin golondrina,1,bergantín golondrina
gol otal,1,gol otal
general,1,General
concordia,1,Concordia
bergantin gota,1,bergantín gota
berg gota,1,berg gota
vsp,1,vsp
borky,1,borky
zumama,1,zumama
berg gna,1,Berg Gna
italianr,1,italianr
pol esp,1,pol esp
varca,1,varca
ber,1,ber
pbotid,1,pbotid
gdia,1,Gdia
baeca,1,baeca
gta italiana,1,Gta Italiana
berg gtr,1,berg gtr
berg gto,1,berg gto
pilot,1,Pilot
gta mueva,1,Gta Mueva
gra joven,1,Gra Jóven
goleta vapor,1,goleta vapor
eslobianca,1,Eslobianca
isolana maria gta,1,Isolana Maria Gta
bodra,1,bodra
poct,1,poct
barg gta,1,barg. gta
fragata o vapor de guerra,1,fragata ó vapor de guerra
buco,1,buco
piloto oriental,1,piloto oriental
piloto,1,piloto
btin gta,1,btin gta.
banca,1,banca
paylabote,1,paylabote
gta argentina,1,gta. argentina
berg fragces,1,berg fragcés
lugr,1,lugr.
vergts,1,vergts
