termino_normalizado,frecuencia,ejemplo_original
ybicuy,3,Ybicuy
quebeck,3,Quebeck
brunsvick,3,Brunsvick
montral,3,Montral
st thomas,3,St. Thomas
genovo,3,Genovo
cienfuegos,3,Cienfuegos
granton,3,Granton
bruswick,3,Bruswick
brunswik,3,Brunswik
ituzaingo,3,Ituzaingo
christiansund,3,Christiansund
breemen,3,Breemen
greeock,3,Greeock
santiago,3,Santiago
glasgou,3,Glasgou
new por,3,New Por
s fe,3,S. Fé
mauricias,3,Mauricias
villa formosa,3,Villa Formosa
baston,3,Baston
glascow,3,Glascow
paris,3,Paris
new-yorck,3,New-Yorck
bdra de san fernando,3,Bdra de San Fernando
chicountini,3,Chicountini
madeira,3,Madeira
brunwich,3,Brunwich
ship island,3,Ship Island
spezia,3,Spezia
livorno,3,Livorno
i de san fernando,3,I. de San Fernando
puerto aragon,3,Puerto Aragon
lourenco marques,3,Lourenço Marques
gulf port,3,Gulf Port
rawson,3,Rawson
darsena norte,3,dársena Norte
newport news,3,Newport News
fredrikshalds,3,Fredrikshalds
gottenburg,3,Gottenburg
fredrikstad,3,Fredrikstad
sotubal,2,Sotubal
ys la de sil,2,Ys. la de Sil
san juan nueva brunswick,2,San Juan Nueva Brunswick
villa garcia,2,Villa García
la bajada,2,la Bajada
la concepcion del uruguay,2,la Concepcion del Uruguay
banta-fe,2,Banta-Fé
trapani sicilia,2,Trápani [Sicilia]
yslas de san gabriel,2,Yslas de San Gabriel
llanelly,2,Llanelly
yala de sal,2,Yala de Sal
trapani,2,Trapani
philadelphia,2,Philadelphia
gualeguayhu,2,Gualeguayhú
gualeguay chu,2,Gualeguay chú
santa fo,2,Santa Fó
san gabriel,2,San Gabriel
carcarana,2,Carcarañá
isla de san gabriel,2,Isla de San Gabriel
guale-guay,2,Guale-guay
yslas de hornos,2,Yslas de Hornos
madera,2,Madera
isla de cuba,2,Isla de Cuba
havre de gracia,2,Havre de Gracia
isla de borbon,2,Isla de Borbon
nueva castle,2,Nueva Castle
rios interiores,2,Rios Interiores
dia,2,Dia
alloa,2,Alloa
estados-unidos,2,Estados-Unidos
paraguaya,2,Paraguayá
nueva-palmira,2,Nueva-Palmira
santr fe,2,Santr Fé
julio,2,Julio
gothemburgo,2,Gothemburgo
tres bocas,2,Tres Bocas
